claim,source_url,source_domain,article_title,risk_score,risk_category,has_factcheck,factcheck_rating,factcheck_source,source_type,checked_at
""" ""KI wird immer beängstigender"", ärgert sich ein anderer",https://kurier.at/stars/zendaya-zu-ki-hochzeitsfotos-viele-menschen-sind-darauf-reingefallen/403141648,kurier.at,Zendaya: &quot;Viele Menschen sind ihnen zum Opfer gefallen&quot; &#x7C; Kurier,0.1,LOW,False,,,unknown,2026-03-18T02:26:58.035880
“ beginnen und es immer wieder in entsprechende Nachrichtengruppen schaffen,https://t3n.de/news/professionelle-ansprache-gefaelschte-screenshots-so-laeuft-kleinanzeigen-betrug-heute-ab-1733796/,t3n.de,"Professionelle Ansprache, gefälschte Screenshots: So läuft Kleinanzeigen-Betrug heute ab | t3n",0.1,LOW,False,,,unknown,2026-03-18T02:26:58.314091
"Wir haben bereits über verschiedene Strategien berichtet, die oft abgewandelt oder kombiniert werden, letztlich aber immer wieder auf dieselben Mechanismen und Tricks zurückgehen",https://t3n.de/news/professionelle-ansprache-gefaelschte-screenshots-so-laeuft-kleinanzeigen-betrug-heute-ab-1733796/,t3n.de,"Professionelle Ansprache, gefälschte Screenshots: So läuft Kleinanzeigen-Betrug heute ab | t3n",0.1,LOW,False,,,unknown,2026-03-18T02:26:58.406409
[DEBUNKED] Kenia bleibt Mitglied der Weltgesundheitsorganisation,https://correctiv.org/faktencheck/2026/03/17/kenia-tritt-nicht-aus-weltgesundheitsorganisation-who-aus/,correctiv.org,Kenia bleibt Mitglied der Weltgesundheitsorganisation,0.9,HIGH,True,FALSE - Debunked by fact-checkers,correctiv.org,factcheck,2026-03-18T02:26:59.202356
"[DEBUNKED] Verbraucher zahlen nicht, wenn ein Windrad nicht angeschlossen ist",https://correctiv.org/faktencheck/2026/03/17/strom-aus-windkraft-verbraucher-zahlen-nicht-wenn-anlagen-nicht-angeschlossen-sind/,correctiv.org,"Verbraucher zahlen nicht, wenn ein Windrad nicht angeschlossen ist",0.9,HIGH,True,FALSE - Debunked by fact-checkers,correctiv.org,factcheck,2026-03-18T02:26:59.992916
Und am Ende zu der Frage: Wieso macht „Anonymous News“ damit einfach immer weiter,https://correctiv.org/faktencheck/hintergrund/2026/03/16/anonymous-news-prorussisch-und-rechtsextrem-internationales-netzwerk-bis-russland/,correctiv.org,Das internationale Netzwerk von Anonymous News,0.1,LOW,False,,,factcheck,2026-03-18T02:27:00.985812
"Die Vertreter des Bundesinnenministeriums teilten ihnen demnach mit, dass im Haushalt für das Jahr 2027 keine Mittel dafür bereitgestellt werden sollen",https://correctiv.org/aktuelles/asylpolitik/2026/03/13/innenministerium-will-beratungsleistungen-fuer-asylbewerber-streichen/,correctiv.org,Dobrindt streicht Beratungen für Asylbewerber,0.1,LOW,False,,,factcheck,2026-03-18T02:27:01.757744
"„Fatale Folgen“ insbesondere für vulnerable Gruppen Mehrere Träger bestätigten auf Anfrage von CORRECTIV, am Montag über das Ende der Beratungsangebote ab 2027 durch das Innenministerium informiert worden zu sein",https://correctiv.org/aktuelles/asylpolitik/2026/03/13/innenministerium-will-beratungsleistungen-fuer-asylbewerber-streichen/,correctiv.org,Dobrindt streicht Beratungen für Asylbewerber,0,LOW,False,,,factcheck,2026-03-18T02:27:01.850232
"Die geplante vollständige Streichung der Mittel für die behördenunabhängigen Asylverfahrensberatungen – im Haushalt für das laufende Jahr sind dafür 25 Millionen Euro eingeplant – sei nicht abgesprochen gewesen, heißt es in der SPD",https://correctiv.org/aktuelles/asylpolitik/2026/03/13/innenministerium-will-beratungsleistungen-fuer-asylbewerber-streichen/,correctiv.org,Dobrindt streicht Beratungen für Asylbewerber,0,LOW,False,,,factcheck,2026-03-18T02:27:01.943346
"000 Euro, außerdem 200 Gramm Gold und weitere Wertgegenstände",https://correctiv.org/muell/2026/03/12/schadstoffbelastete-boeden-anklage-gegen-muell-makler/,correctiv.org,Schadstoffbelastete Böden: Anklage gegen Müll-Makler - correctiv.org,0,LOW,False,,,factcheck,2026-03-18T02:27:03.503473
